"Status","Name","DisplayName"
"Running","AdobeARMservice","Adobe Acrobat Update Service"
"Running","Appinfo","Informations d?application"
"Running","AudioEndpointBuilder","G?n?rateur de points de terminaison du service Audio Windows"
"Running","Audiosrv","Audio Windows"
"Running","BFE","Moteur de filtrage de base"
"Running","BrokerInfrastructure","Service d?infrastructure des t?ches en arri?re-plan"
"Running","bthserv","Service de prise en charge Bluetooth"
"Running","camsvc","Service Gestionnaire d?acc?s aux fonctionnalit?s"
"Running","cbdhsvc_29f60a77","Service utilisateur du Presse-papiers_29f60a77"
"Running","CDPSvc","Service de plateforme des appareils connect?s"
"Running","CDPUserSvc_29f60a77","Service pour utilisateur de plateforme d?appareils connect?s_29f60a77"
"Running","CoreMessagingRegistrar","CoreMessaging"
"Running","cphs","Intel(R) Content Protection HECI Service"
"Running","cplspcon","Intel(R) Content Protection HDCP Service"
"Running","CryptSvc","Services de chiffrement"
"Running","CscService","Fichiers hors connexion"
"Running","DcomLaunch","Lanceur de processus serveur DCOM"
"Running","DeviceAssociationService","Service d?association de p?riph?rique"
"Running","DevicesFlowUserSvc_29f60a77","Flux d?appareils_29f60a77"
"Running","DevQueryBroker","Service Broker de d?couverte en arri?re-plan DevQuery"
"Running","Dhcp","Client DHCP"
"Running","DiagTrack","Exp?riences des utilisateurs connect?s et t?l?m?trie"
"Running","DispBrokerDesktopSvc","Service de strat?gie d'affichage"
"Running","DisplayEnhancementService","Service d'am?lioration de l'affichage"
"Running","Dnscache","Client DNS"
"Running","DoSvc","Optimisation de livraison"
"Running","DPS","Service de strat?gie de diagnostic"
"Running","DsSvc","Service de partage des donn?es"
"Running","DusmSvc","Consommation des donn?es"
"Running","EFS","Syst?me de fichiers EFS (Encrypting File System)"
"Running","EventLog","Journal d??v?nements Windows"
"Running","EventSystem","Syst?me d??v?nement COM+"
"Running","FontCache","Service de cache de police Windows"
"Running","FontCache3.0.0.0","Cache de police de Windows Presentation Foundation?3.0.0.0"
"Running","gpsvc","Client de strat?gie de groupe"
"Running","hidserv","Service du p?riph?rique d?interface utilisateur"
"Running","igccservice","Intel(R) Graphics Command Center Service"
"Running","igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service"
"Running","IKEEXT","Modules de g?n?ration de cl?s IKE et AuthIP"
"Running","InstallService","Installation du service Microsoft Store"
"Running","InventorySvc","Service d?Appraisal inventaire et compatibilit?"
"Running","iphlpsvc","Assistance IP"
"Running","KeyIso","Isolation de cl? CNG"
"Running","LanmanServer","Serveur"
"Running","LanmanWorkstation","Station de travail"
"Running","lfsvc","Service de g?olocalisation"
"Running","LicenseManager","Serveur Gestionnaire de licences Windows"
"Running","lmhosts","Assistance NetBIOS sur TCP/IP"
"Running","LSM","Gestionnaire de session locale"
"Running","McAfee WebAdvisor","McAfee WebAdvisor"
"Running","MDCoreSvc","Microsoft Defender Service de base"
"Running","mpssvc","Pare-feu Windows Defender"
"Running","MsDtsServer160","SQL Server Integration Services 16.0"
